,x,y,yaw,yawrate
117,0.3228200887670131,11.234895222899013,4.93791088385683,7.00400099799503
118,0.3311623913784658,11.33062851902724,5.022680337995653,7.064121178235257
119,0.33964692542462543,11.426349314331407,5.108171234297361,7.124241358475632
120,0.3482748772859993,11.522057288864788,5.19438357276195,7.184361538715785
121,0.35704743253675647,11.617752117291905,5.281317353389424,7.24448171895616
122,0.3659657759242969,11.713433468844958,5.368972576179783,7.304601899196609
123,0.3750310913484807,11.809101007280349,5.457349241133025,7.364722079436836
124,0.3842445618405162,11.904754390835272,5.546447348249149,7.424842259676989
125,0.3936073695415026,12.000393272184382,5.6362668975281585,7.484962439917438
126,0.40312069568062675,12.096017298396541,5.726807888970051,7.545082620157739
127,0.4127857205530075,12.191626110891645,5.818070322574828,7.60520280039804
128,0.42260362349719144,12.287219345397522,5.910054198342487,7.665322980638267
129,0.43257558287228903,12.382796631906942,6.00275951627303,7.725443160878568
130,0.44270277603475894,12.478357594634698,6.0961862763664545,7.785563341118721
131,0.45298637931482594,12.573901851974743,6.190334478622768,7.845683521359466
132,0.4634275679925406,12.669429016457485,6.285204123041961,7.905803701599397
133,0.47402751627347256,12.76493869470712,6.380795209624038,7.965923881839772
134,0.4847873972640356,12.860430487399066,6.477107738368999,8.026044062080073
135,0.4957083829464428,12.955903989217523,6.574141709276845,8.086164242320523
136,0.5067916441532878,13.051358788813108,6.671897122347573,8.146284422560676
137,0.5180383505417536,13.14679446876059,6.770373977581184,8.206404602800902
138,0.5294496705674412,13.242210605516735,6.8695722749776795,8.266524783041277
139,0.5410267714578176,13.337606769378267,6.9694920145370585,8.326644963281579
140,0.5527708191852831,13.43298252443991,7.070133196259323,8.386765143522027
141,0.5646829784398538,13.528337428552575,7.171495820144469,8.44688532376218
142,0.5767644126014505,13.62367103328162,7.273579886192499,8.507005504002482
143,0.5890162837118081,13.718982883865271,7.376385394403411,8.567125684242708
144,0.6014397524459842,13.814272519173118,7.479912344777211,8.627245864483305
145,0.6140359780834728,13.909539471664743,7.5841607373138915,8.687366044723385
146,0.6268061184789288,14.004783267348511,7.689130572013455,8.74748622496361
147,0.6397513300324814,14.100003425740402,7.794821848875902,8.807606405203913
