"","maxyr","frame","x","z","YawRate_seconds"
"1",6,1,0,0.457448937483132,0.455000009387732
"2",6,2,5.20497185050317e-06,0.474677876532078,0.455000009387732
"3",6,3,6.36844771815959e-05,0.599733574837446,0.455000009387732
"4",6,4,0.000142404926937161,0.731976509541273,0.455000009387732
"5",6,5,0.00023931512117997,0.865360998958349,0.455000009387732
"6",6,6,0.000354101351476857,0.998995991051197,0.455000009387732
"7",6,7,0.000486431100798654,1.13245476856828,0.455000009387732
"8",6,8,0.000636250528186793,1.26574326127768,0.455000009387732
"9",6,9,0.000803356729884399,1.39872914969921,0.455000009387732
"10",6,10,0.000988170715427259,1.53184047698975,0.455000009387732
"11",6,11,0.00119082054763567,1.66510538846254,0.455000009387732
"12",6,12,0.0014111145658535,1.79838873565197,0.455000009387732
"13",6,13,0.00164919919683598,1.93175102204084,0.455000009387732
"14",6,14,0.00190492556546815,2.06511124819517,0.455000009387732
"15",6,15,0.00217815452546347,2.19839751303196,0.455000009387732
"16",6,16,0.0024690542393364,2.33170041680336,0.455000009387732
"17",6,17,0.00277757451520301,2.46499475717545,0.455000009387732
"18",6,18,0.00310399190813769,2.5983958530426,0.455000009387732
"19",6,19,0.00344873859721702,2.73207704842091,0.455000009387732
"20",6,20,0.00380938199930824,2.86505240678787,0.455000009387732
"21",6,21,0.00418957398505881,2.99873568415642,0.455000009387732
"22",6,22,0.00458560086903162,3.13178719639778,0.455000009387732
"23",6,23,0.00499999523046426,3.26508507788181,0.455000009387732
"24",6,24,0.00543210590607487,3.39840617418289,0.455000009387732
"25",6,25,0.00588200184865855,3.53176911115646,0.455000009387732
"26",6,26,0.00634940620162524,3.66509094536304,0.455000009387732
"27",6,27,0.00683450226206332,3.79842313349247,0.455000009387732
"28",6,28,0.00733745534787886,3.93181429922581,0.455000009387732
"29",6,29,0.00785782479215413,4.06514158785343,0.42017500384245
"30",6,30,0.00839445495745167,4.1984593629837,0.385349998134188
"31",6,31,0.00894620195496827,4.33181811213493,0.315612486703321
"32",6,32,0.0095101582002826,4.46516953110695,0.175962496327702
"33",6,33,0.0100807909481227,4.59848678231239,0.0363125018877327
"34",6,34,0.0106529106455855,4.73182178020477,-0.208075001591351
"35",6,35,0.0112169039295986,4.86514251232147,-0.417550003412179
"36",6,36,0.011764650598634,4.99845127701759,-0.592112532025203
"37",6,37,0.0122895685001276,5.13179110527039,-0.731762489886023
"38",6,38,0.0127863760478795,5.26520593881607,-0.870800012839027
"39",6,39,0.0132490593986586,5.39852692604065,-0.90527501848992
"40",6,40,0.0136765926075168,5.53184220790863,-0.939837524155155
"41",6,41,0.0140677539119497,5.66517794489861,-0.939575024193618
"42",6,42,0.0144224315835163,5.79849892497063,-0.939137524193211
"43",6,43,0.0147406317619607,5.93179795026779,-0.938612524198834
"44",6,44,0.0150225541903637,6.0651396894455,-0.868525012792088
"45",6,45,0.0152707032929175,6.19844353318214,-0.798525001318194
"46",6,46,0.0154879385256208,6.3317714703083,-0.728349989978597
"47",6,47,0.0156769869104028,6.46514794230461,-0.693174984212965
"48",6,48,0.0158397355140187,6.59898091316223,-0.658087478461676
"49",6,49,0.0159759856457822,6.73202214360237,-0.622999972873368
"50",6,50,0.0160883779264987,6.86537644863129,-0.588000031840056
"51",6,51,0.0161779843806289,6.99872614145279,-0.553087526280433
"52",6,52,0.0162460925220512,7.13207701802254,-0.553087526280433
"53",6,53,0.0162927217665128,7.26545841217041,-0.553175026131794
"54",6,54,0.0163179160957225,7.39872959971428,-0.553525026189164
"55",6,55,0.0163216413557529,7.53206408977509,-0.553875026246533
"56",6,56,0.0163038941076957,7.66538838386536,-0.55413752628956
"57",6,57,0.0162646805052646,7.79871675729752,-0.554487526265439
"58",6,58,0.0162039378727786,7.93204460978508,-0.554750026308466
"59",6,59,0.0161216324730776,8.06536000132561,-0.555012526270002
"60",6,60,0.0160177786229178,8.19877450942993,-0.55492502625566
"61",6,61,0.0158925124746747,8.332040579319,-0.554575026239036
"62",6,62,0.0157456481223926,8.46544659376144,-0.554050026193727
"63",6,63,0.0155774013884366,8.59870645523071,-0.553350026241969
"64",6,64,0.0153876655478962,8.73202971220016,-0.517737488378771
"65",6,65,0.0151778552494943,8.86538226604462,-0.482212514744606
"66",6,66,0.0149492058204487,8.99872324705124,-0.44677500926191
"67",6,67,0.0147032474540174,9.13208282470703,-0.41133750345325
"68",6,68,0.0144414815632626,9.26538949728012,-0.341337491979356
"69",6,69,0.0141663215332665,9.39875182151794,-0.271425012871623
"70",6,70,0.0138807768234983,9.53208454608917,-0.236337507283315
"71",6,71,0.0135860762116499,9.66540744543076,-0.201337501872331
"72",6,72,0.0132835168624297,9.79868378162384,-0.131600006495137
"73",6,73,0.0129758150363341,9.93204533576965,-0.0965125007947789
"74",6,74,0.0126643807557411,10.0653747916222,-0.0268625015407452
"75",6,75,0.0123505996330641,10.1992338514328,-0.0266875015528058
"76",6,76,0.0120378804206848,10.3322494983673,0.0430500017901068
"77",6,77,0.0117259777616709,10.4656293678284,0.0431375017229584
"78",6,78,0.0114157077856362,10.5989850759506,0.0432250017373008
"79",6,79,0.0111072872625664,10.7322877573967,0.0431375017229584
"80",6,80,0.0108005628711544,10.8656099486351,0.0431375017229584
"81",6,81,0.0104952933033928,10.9989623093605,0.043050001708616
"82",6,82,0.0101918565761298,11.1322698879242,0.0427875015840982
"83",6,83,0.00988995206425898,11.2656683707237,0.0424375016897102
"84",6,84,0.00958984555443749,11.3989827752113,0.0420000016791164
"85",6,85,0.00929121598950587,11.532315223217,0.0414750016338075
